role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales,current_sales,difference,comparison
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2021-12-01,5812,,,outside_panel
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-01-01,1148,1148.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-02-01,4316,4316.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-03-01,87,87.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-04-01,24,24.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-05-01,46,46.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-06-01,138,138.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-07-01,45,45.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-08-01,39,39.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-09-01,47,47.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-10-01,50,50.0,0.0,exact
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-11-01,52,52.0,0.0,exact
