role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2023-12-01,826
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,2026-08-29T15:42:55+08:00,长安欧尚Z6 智电iDD,2025-01-01,255
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,2026-08-29T15:42:55+08:00,长安欧尚Z6 智电iDD,2025-02-01,167
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,2026-08-29T15:42:55+08:00,长安欧尚Z6 智电iDD,2025-03-01,204
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,2026-08-29T15:42:55+08:00,长安欧尚Z6 智电iDD,2025-04-01,148
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,2026-08-29T15:42:55+08:00,长安欧尚Z6 智电iDD,2025-05-01,454
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,2026-08-29T15:42:55+08:00,长安欧尚Z6 智电iDD,2025-06-01,105
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,2026-08-29T15:42:55+08:00,长安欧尚Z6 智电iDD,2025-07-01,20
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,2026-08-29T15:42:55+08:00,长安欧尚Z6 智电iDD,2025-08-01,7
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,2026-08-29T15:42:55+08:00,长安欧尚Z6 智电iDD,2025-09-01,4
