series_id,series_name,brand,category,total_months,longest_run_months,interrupt_count,longest_gap_months,first_year,last_year
21973,荣威RX3,荣威,SUV,54,54,0,0,2022,2026
21986,北汽幻速S7,北汽幻速,SUV,54,54,0,0,2022,2026
22023,中华V7,中华,SUV,54,54,0,0,2022,2026
22063,凯绅,起亚,轿车,54,54,0,0,2022,2026
22065,捷豹XEL,捷豹,轿车,54,54,0,0,2022,2026
22085,中华V6,中华,SUV,54,54,0,0,2022,2026
22089,君马S70,君马汽车,SUV,54,54,0,0,2022,2026
22103,瑞虎5x,奇瑞,SUV,54,54,0,0,2022,2026
21914,启辰D60,启辰,轿车,54,54,0,0,2022,2026
22113,华骐300E,华骐,轿车,54,54,0,0,2022,2026
22124,福美来F7,海马,MPV,54,54,0,0,2022,2026
22184,WEY P8,魏牌,SUV,54,54,0,0,2022,2026
22189,LITE,LITE,轿车,54,54,0,0,2022,2026
22190,北汽威旺M60,北汽威旺,MPV,54,54,0,0,2022,2026
22243,裕路EV2,裕路,轿车,54,54,0,0,2022,2026
22253,东南DX3新能源,东南,SUV,54,54,0,0,2022,2026
22263,小鹏G3,小鹏,SUV,54,54,0,0,2022,2026
22283,宝骏530,宝骏,SUV,54,54,0,0,2022,2026
22293,御捷E行,御捷,轿车,54,54,0,0,2022,2026
22317,知豆D3,知豆,轿车,54,54,0,0,2022,2026
22318,电咖·EV10,电咖,轿车,54,54,0,0,2022,2026
22323,长安欧尚X70A,长安欧尚,SUV,54,54,0,0,2022,2026
21923,北斗星X5E,北汽昌河,轿车,54,54,0,0,2022,2026
21764,长城C30新能源,长城,轿车,54,54,0,0,2022,2026
23393,荣威i5,荣威,轿车,54,54,0,0,2022,2026
21613,骏派A50,一汽,轿车,54,54,0,0,2022,2026
21336,北汽幻速H5,北汽幻速,MPV,54,54,0,0,2022,2026
21423,元新能源,比亚迪,SUV,54,54,0,0,2022,2026
21434,众泰Z500EV,众泰,轿车,54,54,0,0,2022,2026
21435,奔奔EV,长安,轿车,54,54,0,0,2022,2026
21439,起亚K5新能源,起亚,轿车,54,54,0,0,2022,2026
21446,传祺GA5新能源,广汽传祺,轿车,54,54,0,0,2022,2026
21448,奥迪A6L e-tron,奥迪,轿车,54,54,0,0,2022,2026
21457,力帆620新能源,力帆,轿车,54,54,0,0,2022,2026
21523,长安欧尚A800,长安欧尚,MPV,54,54,0,0,2022,2026
21533,宋新能源,比亚迪,SUV,54,54,0,0,2022,2026
21568,领克03,领克,轿车,54,54,0,0,2022,2026
21587,骏派CX65,一汽,轿车,54,54,0,0,2022,2026
21593,众泰T500,众泰,SUV,54,54,0,0,2022,2026
21623,传祺GA3S PHEV,广汽传祺,轿车,54,54,0,0,2022,2026
21704,睿骋CC,长安,轿车,54,54,0,0,2022,2026
21624,焕驰,起亚,轿车,54,54,0,0,2022,2026
21625,骁途,铃木,SUV,54,54,0,0,2022,2026
21633,宋MAX,比亚迪,MPV,54,54,0,0,2022,2026
21638,纳智捷U5 SUV,纳智捷,SUV,54,54,0,0,2022,2026
21640,猎豹CS9新能源,猎豹汽车,SUV,54,54,0,0,2022,2026
21647,讴歌TLX-L,讴歌,轿车,54,54,0,0,2022,2026
21653,长安CS15EV,长安,SUV,54,54,0,0,2022,2026
21657,力帆820新能源,力帆,轿车,54,54,0,0,2022,2026
